time	X11	X12	X13	X14	X21	X22	X31	X32	X33	Y1	Y2	Y3
1670.0	12.2	360.95931	0.0	752.87811	360.95931	0.0	360.95931	0.0	752.87811	12.37131	40.543539	12.2
1680.0	12.2	369.68444	0.0	723.07225	369.68444	0.0	369.68444	0.0	723.07225	12.397154	40.487022	12.2
1690.0	12.2	360.24956	0.0	738.31038	360.24956	0.0	360.24956	0.0	738.31038	12.385724	40.430479	12.2
1700.0	12.2	353.4743	0.0	784.58263	353.4743	0.0	353.4743	0.0	784.58263	12.347529	40.375441	12.2
1710.0	12.2	350.95549	0.0	859.78153	350.95549	0.0	350.95549	0.0	859.78153	12.28399	40.321071	12.2
1720.0	12.2	283.15214	0.0	851.07712	283.15214	0.0	283.15214	0.0	851.07712	12.289933	40.271437	12.2
1730.0	12.2	240.93744	0.0	806.90524	240.93744	0.0	240.93744	0.0	806.90524	12.326202	40.231483	12.2
1740.0	12.2	225.26988	0.0	767.87914	225.26988	0.0	225.26988	0.0	767.87914	12.359449	40.195677	12.2
1750.0	12.2	293.60953	0.0	769.87924	293.60953	0.0	293.60953	0.0	769.87924	12.359107	40.156424	12.2
1760.0	12.2	337.88814	0.0	805.67902	337.88814	0.0	337.88814	0.0	805.67902	12.329979	40.107107	12.2
1770.0	12.2	354.32986	0.0	848.18599	354.32986	0.0	354.32986	0.0	848.18599	12.293995	40.05344	12.2
1780.0	12.2	300.08558	0.0	852.93206	300.08558	0.0	300.08558	0.0	852.93206	12.288728	40.002216	12.2
1790.0	12.2	264.559	0.0	815.55347	264.559	0.0	264.559	0.0	815.55347	12.319019	39.959047	12.2
1800.0	12.2	251.3654	0.0	770.41593	251.3654	0.0	251.3654	0.0	770.41593	12.357021	39.919369	12.2
1810.0	12.2	211.77055	0.0	673.56471	211.77055	0.0	211.77055	0.0	673.56471	12.197709	39.884721	12.2
1820.0	12.2	235.29761	0.0	706.38245	235.29761	0.0	235.29761	0.0	706.38245	12.412648	39.849963	12.2
1830.0	12.2	210.41875	0.0	753.2469	210.41875	0.0	210.41875	0.0	753.2469	12.37339	39.815853	12.2
1840.0	12.2	211.0808	0.0	771.06722	211.0808	0.0	211.0808	0.0	771.06722	12.197633	39.783516	12.2
1850.0	12.2	213.86443	0.0	743.45949	213.86443	0.0	213.86443	0.0	743.45949	12.197581	39.750665	12.2
1860.0	12.2	214.90871	0.0	717.15407	214.90871	0.0	214.90871	0.0	717.15407	12.197531	39.717538	12.2
1870.0	12.2	209.42158	0.0	693.26833	209.42158	0.0	209.42158	0.0	693.26833	12.197484	39.684703	12.2
1880.0	12.2	205.88664	0.0	715.1096	205.88664	0.0	205.88664	0.0	715.1096	12.197437	39.652673	12.2
1890.0	12.2	204.57413	0.0	762.59808	204.57413	0.0	204.57413	0.0	762.59808	12.197387	39.62099	12.2
1900.0	12.2	218.21334	0.0	792.07309	218.21334	0.0	218.21334	0.0	792.07309	12.197334	39.588486	12.2
1910.0	12.2	226.87804	0.0	799.24681	226.87804	0.0	226.87804	0.0	799.24681	12.33297	39.554005	12.2
1920.0	12.2	230.09467	0.0	752.87472	230.09467	0.0	230.09467	0.0	752.87472	12.37126	39.518673	12.2
1930.0	12.2	258.25486	0.0	718.40135	258.25486	0.0	258.25486	0.0	718.40135	12.40087	39.481215	12.2
1940.0	12.2	275.58129	0.0	727.52241	275.58129	0.0	275.58129	0.0	727.52241	12.394577	39.439773	12.2
1950.0	12.2	282.01085	0.0	771.85203	282.01085	0.0	282.01085	0.0	771.85203	12.358166	39.396629	12.2
1960.0	12.2	227.50317	0.0	822.36744	227.50317	0.0	227.50317	0.0	822.36744	12.315335	39.356677	12.2
1970.0	12.2	192.76306	0.0	819.94608	192.76306	0.0	192.76306	0.0	819.94608	12.197293	39.324649	12.2
1980.0	12.2	301.865	0.0	778.54723	301.865	0.0	301.865	0.0	778.54723	12.349831	39.282077	12.2
1990.0	12.2	377.00018	0.0	736.23334	377.00018	0.0	377.00018	0.0	736.23334	12.385665	39.230586	12.2
2000.0	12.2	257.95362	0.0	731.90761	257.95362	0.0	257.95362	0.0	731.90761	12.390584	39.173999	12.2
2010.0	12.2	264.74644	0.0	771.559	264.74644	0.0	264.74644	0.0	771.559	12.358389	39.133755	12.2
2020.0	12.2	296.07421	0.0	816.55822	296.07421	0.0	296.07421	0.0	816.55822	12.320492	39.090668	12.2
2030.0	12.2	314.65734	0.0	827.545	314.65734	0.0	314.65734	0.0	827.545	12.310059	39.043272	12.2
2040.0	12.2	321.54994	0.0	794.41825	321.54994	0.0	321.54994	0.0	794.41825	12.336681	38.994051	12.2
2050.0	12.2	289.70442	0.0	747.63453	289.70442	0.0	289.70442	0.0	747.63453	12.375883	38.946466	12.2
